152,251,152
255,245,238
0,255,0
70,130,180
46,139,87
216,191,216
250,250,210
250,240,230
255,0,0
139,0,139
255,255,240
100,149,237
255,192,203
238,130,238
0,206,209
240,248,255
107,142,35
0,139,139
255,255,224
255,99,71
50,205,50
240,230,140
255,140,0
176,196,222
75,0,130
128,0,128
255,127,80
250,128,114
240,255,240
205,133,63
60,179,113
95,158,160
205,92,92
255,215,0
0,128,0
255,228,225
64,224,208
72,61,139
220,220,220
85,107,47
106,90,205
47,79,79
135,206,235
255,165,0
0,191,255
255,160,122
255,69,0
253,245,230
30,144,255
65,105,225
25,25,112
218,112,214
0,250,154
255,235,205
0,0,139
127,255,212
245,255,250
173,216,230
255,248,220
148,0,211
240,128,128
255,255,255
244,164,96
128,128,0
224,255,255
230,230,250
128,128,128
255,218,185
128,0,0
105,105,105
255,239,213
0,128,128
169,169,169
218,165,32
124,252,0
32,178,170
219,112,147
255,255,0
255,250,205
255,250,250
0,100,0
138,43,226
0,0,255
222,184,135
72,209,204
255,0,255
46,139,87
112,128,144
173,255,47
139,0,0
165,42,42
0,0,128
255,20,147
139,69,19
176,224,230
255,228,181
0,255,255
255,222,173
0,0,205
160,82,45
255,228,196
211,211,211
135,206,250
178,34,34
233,150,122
102,205,170
123,104,238
255,250,240
119,136,153
210,105,30
240,255,255
0,255,127
188,143,143
34,139,34
175,238,238
0,255,255
245,222,179
127,255,0
255,240,245
255,182,193
238,232,170
248,248,255
199,21,133
210,180,140
186,85,211
255,105,180
245,245,220
189,183,107
250,235,215
184,134,11
153,50,204
143,188,143
220,20,60
245,245,245
192,192,192
154,205,50
144,238,144
147,112,219
221,160,221
204,0,0
0,153,153
0,255,0
149,149,0
